index,color,duration,genres,facenumber_in_poster,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,score
1,Color,178,Action,0,English,USA,PG-13,2.37E+08,2009,7.9,1.78,1
2,Color,169,Action,0,English,USA,PG-13,3.00E+08,2007,7.1,2.35,1
3,Color,148,Action,1,English,UK,PG-13,2.45E+08,2015,6.8,2.35,0
4,Color,164,Action,0,English,USA,PG-13,2.50E+08,2012,8.5,2.35,1
6,Color,132,Action,1,English,USA,PG-13,263700000,2012,6.6,2.35,0
7,Color,156,Action,0,English,USA,PG-13,2.58E+08,2007,6.2,2.35,0
8,Color,100,Adventure,1,English,USA,PG,2.60E+08,2010,7.8,1.85,1
9,Color,141,Action,4,English,USA,PG-13,2.50E+08,2015,7.5,2.35,1
10,Color,153,Adventure,3,English,UK,PG,2.50E+08,2009,7.5,2.35,1
11,Color,183,Action,0,English,USA,PG-13,2.50E+08,2016,6.9,2.35,0
12,Color,169,Action,0,English,USA,PG-13,2.09E+08,2006,6.1,2.35,0
13,Color,106,Action,1,English,UK,PG-13,2.00E+08,2008,6.7,2.35,0
14,Color,151,Action,2,English,USA,PG-13,2.25E+08,2006,7.3,2.35,1
15,Color,150,Action,1,English,USA,PG-13,2.15E+08,2013,6.5,2.35,0
16,Color,143,Action,0,English,USA,PG-13,2.25E+08,2013,7.2,2.35,1
17,Color,150,Action,4,English,USA,PG,2.25E+08,2008,6.6,2.35,0
18,Color,173,Action,3,English,USA,PG-13,2.20E+08,2012,8.1,1.85,1
19,Color,136,Action,4,English,USA,PG-13,2.50E+08,2011,6.7,2.35,0
20,Color,106,Action,1,English,USA,PG-13,2.25E+08,2012,6.8,1.85,0
21,Color,164,Adventure,0,English,New Zealand,PG-13,2.50E+08,2014,7.5,2.35,1
22,Color,153,Action,0,English,USA,PG-13,2.30E+08,2012,7,2.35,0
23,Color,156,Action,0,English,USA,PG-13,2.00E+08,2010,6.7,2.35,0
24,Color,186,Adventure,6,English,USA,PG-13,2.25E+08,2013,7.9,2.35,1
25,Color,113,Adventure,2,English,USA,PG-13,1.80E+08,2007,6.1,2.35,0
26,Color,201,Action,0,English,New Zealand,PG-13,2.07E+08,2005,7.2,2.35,1
27,Color,194,Drama,0,English,USA,PG-13,2.00E+08,1997,7.7,2.35,1
28,Color,147,Action,0,English,USA,PG-13,2.50E+08,2016,8.2,2.35,1
29,Color,131,Action,0,English,USA,PG-13,2.09E+08,2012,5.9,2.35,0
30,Color,124,Action,0,English,USA,PG-13,1.50E+08,2015,7,2,0
31,Color,143,Action,0,English,UK,PG-13,2.00E+08,2012,7.8,2.35,1
32,Color,135,Action,1,English,USA,PG-13,2.00E+08,2004,7.3,2.35,1
33,Color,195,Action,3,English,USA,PG-13,2.00E+08,2013,7.2,2.35,1
34,Color,108,Adventure,0,English,USA,PG,2.00E+08,2010,6.5,1.85,0
35,Color,104,Action,0,English,Canada,PG-13,2.10E+08,2006,6.8,2.35,0
36,Color,104,Adventure,0,English,USA,G,2.00E+08,2013,7.3,1.85,1
37,Color,150,Action,0,English,USA,PG-13,2.00E+08,2009,6,2.35,0
38,Color,165,Action,2,English,USA,PG-13,2.10E+08,2014,5.7,2.35,0
39,Color,130,Adventure,4,English,USA,PG,2.15E+08,2013,6.4,2.35,0
40,Color,142,Action,0,English,USA,PG-13,2.00E+08,2014,6.7,2.35,0
41,Color,125,Action,0,English,USA,PG,1.70E+08,2010,6.8,2.35,0
42,Color,106,Adventure,0,English,USA,G,2.00E+08,2011,6.3,2.35,0
43,Color,123,Action,2,English,USA,PG-13,2.00E+08,2011,5.6,2.35,0
44,Color,103,Adventure,3,English,USA,G,2.00E+08,2010,8.3,1.85,1
45,Color,118,Action,0,English,USA,PG-13,2.00E+08,2009,6.6,2.35,0
46,Color,140,Action,0,English,USA,PG-13,1.90E+08,2015,7.2,2.35,1
47,Color,123,Action,0,English,USA,PG-13,1.90E+08,2013,7,2.35,0
48,Color,149,Action,7,English,USA,PG-13,2.00E+08,2014,8,2.35,1
49,Color,132,Action,0,English,USA,PG-13,1.90E+08,2013,7.8,2.35,1
50,Color,114,Adventure,1,English,USA,PG-13,1.95E+08,2013,6.3,2.35,0
51,Color,143,Drama,4,English,Australia,PG-13,1.05E+08,2013,7.3,2.35,1
52,Color,116,Action,2,English,USA,PG-13,2.00E+08,2010,6.6,2.35,0
53,Color,131,Action,0,English,USA,PG-13,1.90E+08,2013,7,1.85,0
54,Color,154,Action,2,English,USA,PG-13,1.95E+08,2011,6.3,2.35,0
55,Color,122,Action,2,English,USA,PG-13,1.85E+08,2008,6.2,2.35,0
57,Color,93,Adventure,0,English,USA,PG,1.85E+08,2012,7.2,2.35,1
58,Color,122,Action,4,English,USA,PG-13,1.85E+08,2016,7.5,2.35,1
59,Color,98,Adventure,0,English,USA,G,1.80E+08,2008,8.4,2.35,1
60,Color,91,Action,2,English,USA,PG-13,1.40E+08,2007,6.2,2.35,0
61,Color,158,Action,0,English,USA,PG-13,2.00E+08,2009,5.8,2.35,0
62,Color,96,Animation,0,English,USA,PG,2.00E+08,2009,6.8,2.35,0
63,Color,127,Action,1,English,USA,PG-13,1.76E+08,2015,5.4,2.35,0
64,Color,110,Action,2,English,USA,PG-13,1.80E+08,2016,6.6,2.35,0
65,Color,150,Adventure,5,English,USA,PG,1.80E+08,2005,6.9,2.35,0
66,Color,144,Action,6,English,USA,PG-13,1.78E+08,2016,7.3,2.35,1
67,Color,152,Action,0,English,USA,PG-13,1.85E+08,2008,9,2.35,1
68,Color,96,Adventure,1,English,USA,PG,1.75E+08,2009,8.3,1.85,1
69,Color,94,Action,2,English,USA,PG,1.75E+08,2009,6.5,2.35,0
70,Color,126,Action,3,English,USA,PG-13,1.40E+08,2008,7.9,2.35,1
71,Color,126,Adventure,0,English,USA,PG,1.70E+08,2011,7.5,1.85,1
72,Color,106,Action,2,English,USA,PG-13,1.70E+08,1999,4.8,1.85,0
73,Color,112,Action,2,English,USA,PG-13,1.45E+08,2008,5.2,2.35,0
74,Color,123,Action,8,English,USA,PG-13,1.75E+08,2016,6.9,2.35,0
75,Color,96,Comedy,0,English,USA,PG,1.75E+08,2007,5.4,2.35,0
76,Color,113,Action,1,English,USA,PG-13,1.78E+08,2014,7.9,2.35,1
77,Color,176,Action,0,English,USA,PG-13,1.75E+08,1995,6.1,1.85,0
78,Color,118,Action,4,English,USA,PG-13,1.75E+08,2009,5.8,2.35,0
79,Color,95,Adventure,1,English,USA,PG,1.75E+08,2015,8.3,1.85,1
80,Color,106,Adventure,0,English,UK,PG,1.75E+08,2016,7.8,1.85,1
81,Color,124,Action,4,English,USA,PG-13,2.00E+08,2010,7,2.35,0
82,Color,132,Action,0,English,USA,PG-13,1.70E+08,2012,6.1,2.35,0
83,Color,97,Action,2,English,USA,PG,1.80E+08,2014,7,2.35,0
84,Color,130,Action,0,English,USA,PG-13,1.70E+08,2014,7.6,1.85,1
86,Color,128,Action,2,English,USA,PG-13,1.75E+08,2013,6.3,2.35,0
87,Color,136,Action,1,English,USA,PG-13,1.70E+08,2014,7.8,2.35,1
88,Color,93,Adventure,2,English,USA,PG,1.65E+08,2010,6.4,2.35,0
89,Color,130,Action,2,English,USA,PG,1.90E+08,2015,6.5,2.2,0
90,Color,102,Action,0,English,USA,PG,1.65E+08,2014,7.9,2.39,1
91,Color,101,Adventure,1,English,USA,PG,1.65E+08,2012,7.8,2.35,1
