"","color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","genres","actor_1_name","movie_title","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes"
"1","Color","James Cameron",723,178,0,855,"Joel David Moore",1000,760505847,"Action","CCH Pounder","Avatar",886204,4834,"Wes Studi",0,3054,"English","USA","PG-13",2.37e+08,2009,936,7.9,1.78,33000
"2","Color","Gore Verbinski",302,169,563,1000,"Orlando Bloom",40000,309404152,"Action","Johnny Depp","Pirates of the Caribbean: At World's End",471220,48350,"Jack Davenport",0,1238,"English","USA","PG-13",3e+08,2007,5000,7.1,2.35,0
"3","Color","Sam Mendes",602,148,0,161,"Rory Kinnear",11000,200074175,"Action","Christoph Waltz","Spectre",275868,11700,"Stephanie Sigman",1,994,"English","UK","PG-13",2.45e+08,2015,393,6.8,2.35,85000
"4","Color","Christopher Nolan",813,164,22000,23000,"Christian Bale",27000,448130642,"Action","Tom Hardy","The Dark Knight Rises",1144337,106759,"Joseph Gordon-Levitt",0,2701,"English","USA","PG-13",2.5e+08,2012,23000,8.5,2.35,164000
"6","Color","Andrew Stanton",462,132,475,530,"Samantha Morton",640,73058679,"Action","Daryl Sabara","John Carter",212204,1873,"Polly Walker",1,738,"English","USA","PG-13",263700000,2012,632,6.6,2.35,24000
"7","Color","Sam Raimi",392,156,0,4000,"James Franco",24000,336530303,"Action","J.K. Simmons","Spider-Man 3",383056,46055,"Kirsten Dunst",0,1902,"English","USA","PG-13",2.58e+08,2007,11000,6.2,2.35,0
"8","Color","Nathan Greno",324,100,15,284,"Donna Murphy",799,200807262,"Adventure","Brad Garrett","Tangled",294810,2036,"M.C. Gainey",1,387,"English","USA","PG",2.6e+08,2010,553,7.8,1.85,29000
"9","Color","Joss Whedon",635,141,0,19000,"Robert Downey Jr.",26000,458991599,"Action","Chris Hemsworth","Avengers: Age of Ultron",462669,92000,"Scarlett Johansson",4,1117,"English","USA","PG-13",2.5e+08,2015,21000,7.5,2.35,118000
"10","Color","David Yates",375,153,282,10000,"Daniel Radcliffe",25000,301956980,"Adventure","Alan Rickman","Harry Potter and the Half-Blood Prince",321795,58753,"Rupert Grint",3,973,"English","UK","PG",2.5e+08,2009,11000,7.5,2.35,10000
"11","Color","Zack Snyder",673,183,0,2000,"Lauren Cohan",15000,330249062,"Action","Henry Cavill","Batman v Superman: Dawn of Justice",371639,24450,"Alan D. Purwin",0,3018,"English","USA","PG-13",2.5e+08,2016,4000,6.9,2.35,197000
